name,sec1_mean,sec1_std,sec2_mean,sec2_std,sec3_mean,sec3_std,sec4_mean,sec4_std,sec5_mean,sec5_std,sec6_mean,sec6_std,sec7_mean,sec7_std,sec8_mean,sec8_std,sec9_mean,sec9_std,sec10_mean,sec10_std,sec11_mean,sec11_std,sec12_mean,sec12_std,sec13_mean,sec13_std,sec14_mean,sec14_std,sec15_mean,sec15_std,sec16_mean,sec16_std,sec17_mean,sec17_std,sec18_mean,sec18_std,sec19_mean,sec19_std,sec20_mean,sec20_std,sec21_mean,sec21_std,sec22_mean,sec22_std,sec23_mean,sec23_std,sec24_mean,sec24_std,sec25_mean,sec25_std
tomato,0.0,0.0,0.0,0.0,5.896875,38.32662247360671,0.0,0.0,0.0,0.0,0.0,0.0,5.41875,36.77524165029376,19.125,67.16479267443621,10.040625,49.593802280218185,0.0,0.0,0.0,0.0,6.375,39.81186223978979,0.0,0.0,6.375,39.81186223978979,0.0,0.0,0.0,0.0,9.5625,48.44580573950649,0.0,0.0,9.721875,48.83199024701302,0.0,0.0,0.0,0.0,1.753125,21.070676964311684,9.88125,49.21462839885617,4.14375,32.24105435523937,0.0,0.0
tomato,0.0,0.0,1.115625,16.82972833587563,10.51875,50.711311839051255,3.346875,29.021570473259622,0.0,0.0,2.709375,26.144787474932265,7.490625,43.05809926261696,13.3875,56.87343267071191,13.228125,56.552529421630425,3.50625,29.695116786055923,14.98125,59.9648305128723,0.0,0.0,0.0,0.0,0.0,0.0,6.375,39.81186223978979,0.0,0.0,9.403125,48.05598937941426,3.50625,29.69511678605592,9.24375,47.66245205544402,2.55,25.372179646218807,4.14375,32.24105435523937,25.021875,75.85831461668771,41.4375,94.07176034150737,4.303125,32.84478634782658,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.534375,40.293517696515096,10.040625,49.593802280218185,4.940625,35.14896299479367,0.0,0.0,0.0,0.0,6.375,39.81186223978979,0.0,0.0,6.375,39.81186223978979,0.0,0.0,0.0,0.0,6.375,39.81186223978979,6.534375,40.293517696515096,10.51875,50.711311839051255,3.825,30.995876741915207,0.0,0.0,0.6375,12.734052526591837,4.78125,34.58841422264831,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.534375,40.293517696515096,0.0,0.0,8.2875,45.2175833470786,6.375,39.81186223978979,6.375,39.81186223978979,1.59375,20.096422839338846,4.4625,33.43685980695555,6.69375,40.768860186881604,0.0,0.0,8.446875,45.63555004307908,0.0,0.0,7.0125,41.70146692563704,8.60625,46.04917166396698,10.2,49.96959075277684,5.1,35.7,0.0,0.0
tomato,0.0,0.0,0.0,0.0,6.853125,41.23810801594048,4.14375,32.24105435523937,0.0,0.0,0.0,0.0,4.303125,32.84478634782658,10.996875,51.80030757856921,14.503125,59.05892176660843,0.6375,12.734052526591837,0.0,0.0,6.375,39.81186223978979,0.0,0.0,0.796875,14.232642594907489,6.375,39.81186223978979,0.0,0.0,4.14375,32.24105435523937,3.1875,28.33111970519344,6.375,39.81186223978979,0.796875,14.232642594907489,0.0,0.0,0.0,0.0,10.51875,50.711311839051255,6.69375,40.768860186881604,2.23125,23.74847939211056
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.215625,39.32366184448461,9.403125,48.05598937941425,4.621875,34.01788348037507,2.071875,22.891820787879123,0.0,0.0,6.534375,40.293517696515096,3.028125,27.622496881787768,21.675,71.11483231366013,4.303125,32.84478634782658,1.275,17.986088374074004,4.303125,32.84478634782658,10.359375,50.34206962977759,10.359375,50.34206962977759,0.0,0.0,0.0,0.0,1.275,17.986088374074004,0.0,0.0,4.621875,34.01788348037506,22.95,72.97634890839635
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.853125,41.23810801594048,20.240625,68.93240511261286,4.14375,32.24105435523937,0.0,0.0,0.0,0.0,6.534375,40.293517696515096,0.0,0.0,6.215625,39.32366184448461,0.0,0.0,0.0,0.0,13.228125,56.552529421630425,10.996875,51.80030757856922,24.8625,75.6425382556006,13.228125,56.552529421630425,0.0,0.0,1.275,17.986088374074004,20.4,69.17976582787773,12.75,55.57596153014359,13.70625,57.50854250402717
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478125,11.031467331428535,0.0,0.0,5.896875,38.32662247360671,6.69375,40.768860186881604,4.940625,35.14896299479367,0.796875,14.232642594907489,0.0,0.0,9.403125,48.05598937941425,1.59375,20.096422839338846,8.925,46.863838671197215,0.0,0.0,0.0,0.0,7.96875,44.36812226630174,4.621875,34.01788348037506,9.88125,49.21462839885617,0.0,0.0,0.0,0.0,0.0,0.0,2.55,25.372179646218807,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,17.986088374074,9.24375,47.66245205544403,6.375,39.81186223978979,8.765625,46.45856426278555,0.0,0.0,6.375,39.81186223978979,0.796875,14.232642594907489,2.071875,22.891820787879123,6.69375,40.768860186881604,0.0,0.0,0.159375,6.373007501123389,16.096875,62.01285141189989,16.25625,62.29829922186881,9.721875,48.831990247013024,0.0,0.0
tomato,0.0,0.0,0.0,0.0,16.734375,63.14448763240838,2.55,25.372179646218807,0.0,0.0,2.55,25.372179646218807,6.534375,40.293517696515096,18.965625,66.90694615179635,11.953125,53.89962595171116,1.275,17.986088374074004,2.55,25.372179646218807,9.403125,48.05598937941425,0.0,0.0,7.33125,42.611283991889984,1.275,17.986088374074004,3.028125,27.622496881787768,10.678125,51.07738757497661,12.271875,54.57773546955182,10.2,49.96959075277684,3.346875,29.021570473259622,2.071875,22.891820787879123,2.55,25.37217964621881,2.55,25.372179646218807,8.128125,44.7951499493458,13.546875,57.19209126036899
